,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
0,ADBL,-,115.0,115.0,113.0,114.0,113.39,"1,111",115.0,"125,973",15,-1.0,2.0,-0.87,1.77,0.54,0.0,
1,ADBL,-,114.0,118.0,115.0,118.0,116.56,551,114.0,"64,227",9,4.0,3.0,3.51,2.61,1.22,0.0,
2,ADBL,-,118.0,116.0,114.0,115.0,114.55,490,118.0,"56,130",7,-3.0,2.0,-2.54,1.75,0.39,0.0,
3,ADBL,-,115.0,115.0,113.0,114.0,114.61,"3,220",115.0,"369,040",57,-1.0,2.0,-0.87,1.77,-0.53,0.0,
4,ADBL,-,114.0,114.0,112.0,113.0,113.03,775,114.0,"87,595",12,-1.0,2.0,-0.88,1.79,-0.02,0.0,
5,ADBL,-,113.0,115.0,113.0,114.0,113.93,"3,240",113.0,"369,120",61,1.0,2.0,0.88,1.77,0.06,0.0,
6,ADBL,-,114.0,113.0,111.0,111.0,111.53,"1,710",114.0,"190,718",19,-3.0,2.0,-2.63,1.8,-0.48,0.0,
7,ADBL,-,113.0,114.0,112.0,112.0,112.95,549,113.0,"62,007",7,-1.0,2.0,-0.88,1.79,-0.84,0.0,
8,ADBL,-,112.0,112.0,111.0,112.0,111.83,"2,477",112.0,"277,012",31,0.0,1.0,0.0,0.9,0.15,0.0,
9,ADBL,-,112.0,112.0,110.0,112.0,111.17,"3,102",112.0,"344,864",16,0.0,2.0,0.0,1.82,0.74,0.0,
10,ADBL,-,112.0,112.0,111.0,111.0,111.52,"1,049",112.0,"116,985",16,-1.0,1.0,-0.89,0.9,-0.47,0.0,
11,ADBL,-,111.0,114.0,110.0,113.0,111.37,866,111.0,"96,445",13,2.0,4.0,1.8,3.64,1.44,0.0,
12,ADBL,-,113.0,118.0,114.0,118.0,115.86,"2,190",113.0,"253,740",31,5.0,4.0,4.42,3.51,1.81,0.0,
13,ADBL,-,118.0,117.0,115.0,117.0,116.17,411,118.0,"47,745",10,-1.0,2.0,-0.85,1.74,0.71,0.0,
14,ADBL,-,117.0,118.0,115.0,117.0,116.57,"4,484",117.0,"522,708",50,0.0,3.0,0.0,2.61,0.37,0.0,
15,ADBL,-,117.0,115.0,111.0,112.0,113.50,"1,650",117.0,"187,270",25,-5.0,4.0,-4.27,3.6,-1.34,0.0,
16,ADBL,-,112.0,114.0,111.0,114.0,111.72,"1,170",112.0,"130,710",13,2.0,3.0,1.79,2.7,2.0,0.0,
17,ADBL,-,114.0,114.0,110.0,112.0,112.03,"1,060",114.0,"118,750",19,-2.0,4.0,-1.75,3.64,-0.03,0.0,
18,ADBL,-,112.0,114.0,111.0,112.0,112.85,"4,200",112.0,"473,960",60,0.0,3.0,0.0,2.7,-0.76,0.0,
19,ADBL,-,112.0,114.0,110.0,110.0,111.02,"2,291",112.0,"254,352",30,-2.0,4.0,-1.79,3.64,-0.93,0.0,
20,ADBL,-,110.0,113.0,110.0,111.0,111.23,"1,833",110.0,"203,887",27,1.0,3.0,0.91,2.73,-0.21,0.0,
21,ADBL,-,111.0,113.0,111.0,111.0,112.04,"3,946",111.0,"442,100",35,0.0,2.0,0.0,1.8,-0.93,0.0,
22,ADBL,-,111.0,111.0,109.0,110.0,109.84,"1,611",111.0,"176,945",24,-1.0,2.0,-0.9,1.83,0.15,0.0,
23,ADBL,-,110.0,111.0,110.0,111.0,110.27,992,110.0,"109,391",15,1.0,1.0,0.91,0.91,0.65,0.0,
24,ADBL,-,111.0,110.0,107.0,110.0,108.70,"2,091",111.0,"227,290",20,-1.0,3.0,-0.9,2.8,1.18,0.0,
25,ADBL,-,110.0,110.0,109.0,110.0,109.59,386,110.0,"42,300",7,0.0,1.0,0.0,0.92,0.38,0.0,
26,ADBL,-,110.0,110.0,109.0,109.0,109.77,920,110.0,"100,990",11,-1.0,1.0,-0.91,0.92,-0.71,0.0,
27,ADBL,-,109.0,109.0,108.0,109.0,108.57,"1,309",109.0,"142,115",20,0.0,1.0,0.0,0.93,0.4,0.0,
28,ADBL,-,109.0,111.0,107.0,108.0,108.89,"1,992",109.0,"216,906",33,-1.0,4.0,-0.92,3.74,-0.82,0.0,
29,ADBL,-,108.0,110.0,107.0,109.0,108.00,"1,961",108.0,"211,790",13,1.0,3.0,0.93,2.8,0.92,0.0,
30,ADBL,-,109.0,111.0,110.0,111.0,110.18,276,109.0,"30,410",5,2.0,1.0,1.83,0.91,0.74,0.0,
31,ADBL,-,111.0,109.0,107.0,108.0,107.45,550,111.0,"59,100",5,-3.0,2.0,-2.7,1.87,0.51,0.0,
32,ADBL,-,108.0,109.0,108.0,109.0,108.22,631,108.0,"68,289",19,1.0,1.0,0.93,0.93,0.71,0.0,
33,ADBL,-,109.0,109.0,107.0,109.0,107.89,"1,230",109.0,"132,700",15,0.0,2.0,0.0,1.87,1.02,0.0,
34,ADBL,-,109.0,109.0,105.0,107.0,106.70,"2,747",109.0,"293,109",28,-2.0,4.0,-1.83,3.81,0.28,0.0,
35,ADBL,-,107.0,109.0,107.0,108.0,108.42,"1,285",107.0,"139,322",15,1.0,2.0,0.93,1.87,-0.39,0.0,
36,ADBL,-,108.0,110.0,107.0,109.0,108.23,"2,204",108.0,"238,530",29,1.0,3.0,0.93,2.8,0.71,0.0,
37,ADBL,-,109.0,109.0,108.0,108.0,108.38,"1,030",109.0,"111,630",17,-1.0,1.0,-0.92,0.93,-0.35,0.0,
38,ADBL,-,108.0,109.0,107.0,108.0,108.26,"2,300",108.0,"249,002",36,0.0,2.0,0.0,1.87,-0.24,0.0,
39,ADBL,-,108.0,109.0,104.0,109.0,106.95,"1,451",108.0,"155,189",27,1.0,5.0,0.93,4.81,1.88,0.0,
