S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
1,ADBL,-,336,336,325,327,328.81,"3,481",336,"1,144,588",39,-9.00,11.00,-2.68,3.38,-0.55,472.00,283.00
2,AHPC,-,165,168,165,168,165.46,65,163,"10,755",2,5.00,3.00,3.07,1.82,1.51,300.00,147.00
3,AKPL,-,289,289,282,289,285.74,"4,339",294,"1,239,836",44,-5.00,7.00,-1.70,2.48,1.13,445.00,212.00
4,ALICL,-,731,732,717,717,724.54,"1,999",731,"1,448,350",23,-14.00,15.00,-1.92,2.09,-1.05,"1,723.00",520.00
5,API,-,301,302,295,300,296.59,"8,205",306,"2,433,506",92,-6.00,7.00,-1.96,2.37,1.14,683.00,246.00
6,BARUN,-,156,157,154,155,156.23,"1,251",157,"195,439",52,-2.00,3.00,-1.27,1.95,-0.79,295.00,155.00
7,BHBL,-,136,136,136,136,136.00,200,138,"27,200",1,-2.00,0.00,-1.45,0.00,0.00,315.00,135.00
8,BNT,-,5922,5922,5922,5922,"5,922.00",10,6042,"59,220",1,-120.00,0.00,-1.99,0.00,0.00,"8,287.00","5,336.00"
9,BOKL,-,315,315,309,312,310.80,"10,336",315,"3,212,438",43,-3.00,6.00,-0.95,1.94,0.38,503.00,294.00
10,BPCL,-,459,459,446,450,450.72,"7,944",459,"3,580,498",114,-9.00,13.00,-1.96,2.91,-0.16,783.00,420.00
11,CBBL,-,966,966,922,935,939.40,"3,181",960,"2,988,230",38,-25.00,44.00,-2.60,4.77,-0.47,"1,752.00",733.00
12,CBL,-,162,162,156,156,158.32,"90,539",163,"14,334,238",164,-7.00,6.00,-4.29,3.85,-1.49,272.00,136.00
13,CCBL,-,179,180,170,172,172.72,"29,468",179,"5,089,572",118,-7.00,10.00,-3.91,5.88,-0.42,388.00,155.00
14,CFCL,-,116,116,116,116,116.00,230,115,"26,680",4,1.00,0.00,0.87,0.00,0.00,216.00,114.00
15,CHCL,-,805,805,784,784,793.26,"6,415",805,"5,088,734",55,-21.00,21.00,-2.61,2.68,-1.18,975.00,543.74
16,CHL,-,142,142,139,140,140.88,712,144,"100,304",31,-4.00,3.00,-2.78,2.16,-0.63,355.00,143.00
17,CIT,-,2650,2650,2586,2595,"2,600.00",556,2601,"1,445,598",23,-6.00,64.00,-0.23,2.47,-0.19,"4,857.00","2,298.00"
18,CLBSL,-,781,781,760,766,770.24,510,796,"392,820",18,-30.00,21.00,-3.77,2.76,-0.55,"1,414.00",613.00
19,CORBL,-,116,116,114,114,115.58,190,116,"21,960",2,-2.00,2.00,-1.72,1.75,-1.39,150.00,112.00
20,CZBIL,-,255,255,245,250,249.39,"24,624",256,"6,141,093",59,-6.00,10.00,-2.34,4.08,0.24,412.00,236.00
21,DBBL,-,137,140,135,140,135.82,"14,877",138,"2,020,586",47,2.00,5.00,1.45,3.70,2.99,281.00,131.00
22,DDBL,-,799,799,780,785,786.92,"4,739",793,"3,729,237",51,-8.00,19.00,-1.01,2.44,-0.25,"1,550.00",605.00
23,DHPL,-,113,115,113,115,113.61,108,113,"12,270",8,2.00,2.00,1.77,1.77,1.21,232.00,111.00
24,EBL,-,710,711,696,697,702.78,"10,833",710,"7,613,221",123,-13.00,15.00,-1.83,2.16,-0.83,"1,755.00",650.00
25,EBLCP,-,640,640,640,640,640.00,906,640,"579,840",1,0.00,0.00,0.00,0.00,0.00,"1,473.00",590.00
26,EDBL,-,340,340,327,327,328.46,"3,897",339,"1,279,994",5,-12.00,13.00,-3.54,3.98,-0.45,750.00,320.00
27,EIC,-,1529,1529,1421,1450,"1,449.43",554,1507,"802,985",21,-57.00,108.00,-3.78,7.60,0.04,"3,199.00","1,171.00"
28,FMDBL,-,585,585,560,566,571.58,"6,672",582,"3,813,574",80,-16.00,25.00,-2.75,4.46,-0.99,"1,200.00",450.00
29,FOWAD,-,2370,2370,2307,2317,"2,323.69","1,325",2370,"3,078,895",40,-53.00,63.00,-2.24,2.73,-0.29,"4,140.00","1,192.00"
30,GBBL,-,190,190,181,181,183.67,"8,143",191,"1,495,637",37,-10.00,9.00,-5.24,4.97,-1.48,312.00,169.00
31,GBIME,-,299,304,296,300,299.02,"19,322",300,"5,777,736",95,0.00,8.00,0.00,2.70,0.33,410.00,285.00
32,GBIMEP,-,176,176,176,176,176.00,"3,970",176,"698,720",1,0.00,0.00,0.00,0.00,0.00,179.00,176.00
33,GBLBS,-,615,615,585,585,594.71,"8,035",603,"4,778,505",78,-18.00,30.00,-2.99,5.13,-1.66,"1,050.00",416.00
34,GDBL,-,204,204,201,204,202.32,"7,482",204,"1,513,732",32,0.00,3.00,0.00,1.49,0.83,517.00,199.00
35,GFCL,-,122,124,121,121,122.50,"1,330",123,"162,930",10,-2.00,3.00,-1.63,2.48,-1.24,317.00,118.00
36,GILB,-,1205,1205,1170,1200,"1,177.38",534,1206,"628,723",35,-6.00,35.00,-0.50,2.99,1.88,"2,790.00",951.00
37,GIMES1,-,8.5,8.5,8.46,8.5,8.48,"6,747",8.63,"57,240",3,-0.13,0.04,-1.51,0.47,0.19,10.30,8.29
38,GLICL,-,941,941,925,932,933.55,"2,510",957,"2,343,214",32,-25.00,16.00,-2.61,1.73,-0.17,"1,300.00",598.00
39,GMFIL,-,139,139,139,139,139.00,280,140,"38,920",1,-1.00,0.00,-0.71,0.00,0.00,288.00,140.00
40,GRDBL,-,148,148,148,148,148.00,30,148,"4,440",1,0.00,0.00,0.00,0.00,0.00,745.00,147.00
41,GUFL,-,112,112,112,112,112.00,93,114,"10,416",2,-2.00,0.00,-1.75,0.00,0.00,213.00,111.00
42,HAMRO,-,134,134,132,134,133.31,"3,782",136,"504,188",7,-2.00,2.00,-1.47,1.52,0.51,302.00,133.00
43,HATH,-,138,138,138,138,138.00,40,136,"5,520",1,2.00,0.00,1.47,0.00,0.00,226.00,130.00
44,HBL,-,590,590,578,578,580.85,"2,695",588,"1,565,395",32,-10.00,12.00,-1.70,2.08,-0.49,932.00,560.00
45,HDL,-,1316,1320,1295,1301,"1,306.90",900,1338,"1,176,210",9,-37.00,25.00,-2.77,1.93,-0.45,"2,246.00",731.00
46,HGI,-,485,485,468,469,473.24,"8,658",482,"4,097,339",54,-13.00,17.00,-2.70,3.63,-0.90,"1,754.00",350.00
47,HIDCL,-,163,163,157,159,158.58,"7,627",162,"1,209,485",57,-3.00,6.00,-1.85,3.82,0.26,208.00,134.00
48,HPPL,-,310,310,295,302,300.77,"1,960",308,"589,510",57,-6.00,15.00,-1.95,5.08,0.41,471.00,238.00
49,ICFC,-,178,179,176,176,177.98,"4,200",181,"747,500",10,-5.00,3.00,-2.76,1.70,-1.12,307.00,180.00
50,IGI,-,911,929,900,900,905.88,"2,275",917,"2,060,870",22,-17.00,29.00,-1.85,3.22,-0.65,"1,508.00",660.00
51,JBBL,-,143,144,141,141,141.98,"3,436",143,"487,843",36,-2.00,3.00,-1.40,2.13,-0.69,328.50,133.00
52,JBNL,-,166,166,161,162,162.78,"9,173",166,"1,493,150",66,-4.00,5.00,-2.41,3.11,-0.48,312.00,144.00
53,JBNLPO,-,145,145,145,145,145.00,"9,850",145,"1,428,250",1,0.00,0.00,0.00,0.00,0.00,150.00,145.00
54,JEFL,-,107,107,105,107,105.46,"2,216",105,"233,709",9,2.00,2.00,1.90,1.90,1.44,275.00,105.00
55,JFL,-,174,177,166,166,172.69,"2,734",171,"472,123",12,-5.00,11.00,-2.92,6.63,-4.03,322.00,147.00
56,JSLBB,-,3165,3165,3041,3102,"3,086.36",236,3229,"728,382",10,-127.00,124.00,-3.93,4.08,0.50,"4,110.00","2,173.00"
57,KADBL,-,185,185,185,185,185.00,"14,464",187,"2,675,840",2,-2.00,0.00,-1.07,0.00,0.00,377.00,182.00
